title,year,verdict,reason,confidence,majors,budget_usd_today,budget_wikipedia_today,budget_tmdb_today,budget_straddles,budget_raw,budget_source,countries,non_us,companies,company_source,distributor_majors,distributors,wikipedia,wikidata,tmdb,notes
Raw,2016,A,"no major studio; budget $4.7M in today's money, avg of 2 sources (< $35M)",high,,4745000,4940000.0,4550000.0,False,"wikipedia: {{Plainlist|
* [[Euro|€]]3.48 million<ref>{{cite web|url=htt | tmdb: $3500000",wikipedia+tmdb,France; Belgium,True,Petit Film; Rouge International; Frakas Productions; Ezekiel Film Production; Wild Bunch (company); Wild Bunch,wikipedia:studio,,Wild Bunch (France); O Brother Distribution (Belgium),https://en.wikipedia.org/wiki/Raw_(film),https://www.wikidata.org/wiki/Q21427355,https://www.themoviedb.org/movie/393519,no budget text
Bergman Island,2021,A,"no major studio; budget $7.5M in today's money, tmdb (< $35M)",high,,7475000,,7474999.999999999,False,tmdb: $6500000,tmdb,France; Mexico; Brazil; Germany; Sweden; Belgium; United Kingdom,True,CG Cinéma; Neue Bioskop Film; Scope Pictures; Plattform Produktion; Piano (company); Piano; Arte France Cinéma; RT Features; Dauphin Films; Talipot Studio; Scope Invest,wikipedia:studio,,TriArt Film (Sweden); Les Films du Losange (France); Weltkino Filmverleih (Germany); Cinépolis; Cinépolis Distribución (Mexico); Pandora Filmes (Brazil),https://en.wikipedia.org/wiki/Bergman_Island_(2021_film),https://www.wikidata.org/wiki/Q59065557,https://www.themoviedb.org/movie/477044,no budget text
R.M.N.,2022,A,"no major studio; budget $3.5M in today's money, wikipedia (< $35M)",high,,3477600,3477599.9999999995,,False,"wikipedia: €2.8 million<ref name=""fne"">{{cite news|url=https://www.film",wikipedia,Romania; France; Belgium,True,Mobra Films; Why Not Productions; France 3 Cinéma; Les Films du Fleuve; Film i Väst,wikipedia:studio,,Voodoo Films (Romania); Le Pacte (France),https://en.wikipedia.org/wiki/R.M.N.,https://www.wikidata.org/wiki/Q111633274,https://www.themoviedb.org/movie/919570,no budget text
2046,2004,A,"no major studio; budget $19.2M in today's money, avg of 2 sources (< $35M)",high,,19200000,19200000.0,19200000.0,False,wikipedia: US$12 million<ref name=boxofficetotal/> | tmdb: $12000000,wikipedia+tmdb,Hong Kong; People's Republic of China; France; Italy; Germany,True,Jet Tone Productions; Block 2 Pictures; Paradis Films; Orly Films; Classic SRL; Shanghai Film Group; Shanghai Film Corporation; Arte France Cinéma; France 3 Cinéma; ZDF; ZDF-Arte,wikipedia:studio,,Mei Ah Entertainment; 20th Century Fox (Hong Kong); Océan Films (France); Istituto Luce (Italy); Prokino Filmverleih (Germany),https://en.wikipedia.org/wiki/2046_(film),https://www.wikidata.org/wiki/Q164702,https://www.themoviedb.org/movie/844,no budget text
Happy Together,1997,A,"no major studio; budget $0.2M in today's money, tmdb (< $35M)",high,,250000,,250000.0,False,tmdb: $125000,tmdb,Hong Kong,True,Jet Tone Production; Block 2 Pictures; Seowoo Film Company; Prénom H Co. Ltd,wikipedia:studio,,Golden Harvest Company,https://en.wikipedia.org/wiki/Happy_Together_(1997_film),https://www.wikidata.org/wiki/Q1204213,https://www.themoviedb.org/movie/18329,no budget text
C'mon C'mon,2021,A,"no major studio; budget $9.5M in today's money, avg of 2 sources (< $35M)",high,,9545000,9545000.0,9545000.0,False,wikipedia: $8.3 million<ref name=NOLA>{{cite web|url=https://www.nola.c | tmdb: $8300000,wikipedia+tmdb,United States,False,Be Funny When You Can,wikipedia:studio,,A24,https://en.wikipedia.org/wiki/C'mon_C'mon_(film),https://www.wikidata.org/wiki/Q73537113,https://www.themoviedb.org/movie/632617,no budget text
Anatomy of a Murder,1959,H,"US film before 1980, major as distributor and so its financier: Columbia Pictures (Sony)",medium,,18000000,18000000.0,18000000.0,False,"wikipedia: $2 million<ref name=wall>{{cite magazine |date = November 7, | tmdb: $2000000",wikipedia+tmdb,United States,False,Carlyle Productions,wikipedia:studio,Sony,Columbia Pictures,https://en.wikipedia.org/wiki/Anatomy_of_a_Murder,https://www.wikidata.org/wiki/Q488376,https://www.themoviedb.org/movie/93,
Hannah and Her Sisters,1986,A,"no major studio; budget $19.2M in today's money, avg of 2 sources (< $35M)",high,,19200000,19200000.0,19200000.0,False,wikipedia: $6.4 million | tmdb: $6400000,wikipedia+tmdb,United States,False,A Jack Rollins and Charles H. Joffe Production,wikipedia:studio,,Orion Pictures,https://en.wikipedia.org/wiki/Hannah_and_Her_Sisters,https://www.wikidata.org/wiki/Q845057,https://www.themoviedb.org/movie/5143,no budget text
Alice in Borderland,2014,?,no matching film found in any source,none,,,,,False,,,,,,,,,,,,
May,2002,A,"no major studio; budget $1.8M in today's money, avg of 2 sources (< $35M)",high,,1760000,2720000.0,800000.0,False,"wikipedia: $1.7 million<ref name=""Numbers"">{{cite web|url=https://www.t | tmdb: $500000",wikipedia+tmdb,United States,False,2 Loop Films,wikipedia:studio,,Lionsgate Films; Lions Gate Films,https://en.wikipedia.org/wiki/May_(film),https://www.wikidata.org/wiki/Q648417,https://www.themoviedb.org/movie/10894,no budget text
The Double Life of Véronique,1991,A,no major studio; no budget figure found (rule: treat as A),low,,,,,False,,,France; Poland; Norway,True,"Sidéral Productions; Zespól Filmowy ""X""; Studio Tor; Le Studio Canal+; Norsk Film",wikipedia:studio,,Sidéral Films (France),https://en.wikipedia.org/wiki/The_Double_Life_of_Veronique,https://www.wikidata.org/wiki/Q1130211,https://www.themoviedb.org/movie/1600,no budget text
Young Frankenstein,1974,H,"US film before 1980, major as distributor and so its financier: 20th Century Fox (Disney/Fox)",medium,,15345000,15290000.0,15400000.0,False,wikipedia: $2.78 million<ref>{{cite book |last=Solomon |first=Aubrey |t | tmdb: $2800000,wikipedia+tmdb,United States,False,"Gruskoff/Venture Films; Crossbow Productions, Inc; Jouer Limited",wikipedia:studio,Disney/Fox,20th Century Fox,https://en.wikipedia.org/wiki/Young_Frankenstein,https://www.wikidata.org/wiki/Q651923,https://www.themoviedb.org/movie/3034,
War and Peace,2016,?,no matching film found in any source,none,,,,,False,,,,,,,,,,,,
Hidden Agenda,1990,A,"no major studio; budget $7.6M in today's money, wikipedia (< $35M)",high,,7620000,7620000.0,,False,"wikipedia: £3 million<ref name=""org"">{{cite web|url=https://www2.bfi.or",wikipedia,United Kingdom,True,Initial (II); Hemdale,tmdb,,Hemdale Film Corporation,https://en.wikipedia.org/wiki/Hidden_Agenda_(1990_film),https://www.wikidata.org/wiki/Q950723,https://www.themoviedb.org/movie/47869,no budget text
Trick 'r Treat,2007,A,"no major studio; budget $19.2M in today's money, avg of 2 sources (< $35M)",high,,19200000,19200000.0,19200000.0,False,wikipedia: $12 million<ref name=complex>{{cite web|last=Barone |first=M | tmdb: $12000000,wikipedia+tmdb,United States; Canada,False,Legendary Pictures; Bad Hat Harry Productions,wikipedia:studio,,Warner Bros. Pictures,https://en.wikipedia.org/wiki/Trick_'r_Treat,https://www.wikidata.org/wiki/Q1686936,https://www.themoviedb.org/movie/23202,no budget text
"Blind Willow, Sleeping Woman",2022,A,"no major studio; budget $7.9M in today's money, tmdb (< $35M)",high,,7935000,,7934999.999999999,False,tmdb: $6900000,tmdb,France; Luxembourg; Canada; Netherlands,True,Miyu Productions; Cinéma Defacto; Doghouse Films; micro_scope; Productions L Unité Centrale; An Original Picture; Studio MA; Arte France Cinéma; Auvergne-Rhône-Alpes Cinéma,wikipedia:studio,,Gébéka Films; Maïson 4:3,"https://en.wikipedia.org/wiki/Blind_Willow,_Sleeping_Woman_(film)",https://www.wikidata.org/wiki/Q113635030,https://www.themoviedb.org/movie/678299,no budget text
We Own This City,2022,?,no matching film found in any source,none,,,,,False,,,,,,,,,,,,
Lady Bird,2017,A,"no major studio; budget $13.0M in today's money, avg of 2 sources (< $35M)",high,,13000000,13000000.0,13000000.0,False,wikipedia: $10&nbsp;million<ref>{{cite web|url=https://www.hollywoodrep | tmdb: $10000000,wikipedia+tmdb,United States,False,Scott Rudin Productions; Management 360; IAC Films,wikipedia:studio,,A24 (United States and Canada); Focus Features (International; through Universal Pictures),https://en.wikipedia.org/wiki/Lady_Bird_(film),https://www.wikidata.org/wiki/Q27480769,https://www.themoviedb.org/movie/391713,no budget text
A Prophet,2009,A,"no major studio; budget $20.8M in today's money, avg of 2 sources (< $35M)",high,,20800000,20800000.0,20800000.0,False,wikipedia: $13 million<ref name=bom/> | tmdb: $13000000,wikipedia+tmdb,France; Italy,True,Why Not Productions; Chic Films; Page 114; France 2 Cinéma; UGC Images; BIM Distribuzione; Celluloid Dreams,wikipedia:studio,,UGC (cinema operator); UGC Distribution (France); BiM Distribuzione (Italy),https://en.wikipedia.org/wiki/A_Prophet,https://www.wikidata.org/wiki/Q1061541,https://www.themoviedb.org/movie/21575,no budget text
Slow West,2015,A,"no major studio; budget $2.6M in today's money, tmdb (< $35M)",high,,2600000,,2600000.0,False,tmdb: $2000000,tmdb,United Kingdom; New Zealand,True,DMC Film; Film4 Productions; Film4; New Zealand Film Commission; See-Saw Films,wikipedia:studio,,Lionsgate UK; Lionsgate (United Kingdom); Transmission Films; Madman Entertainment (New Zealand),https://en.wikipedia.org/wiki/Slow_West,https://www.wikidata.org/wiki/Q15427353,https://www.themoviedb.org/movie/223485,no budget text
McCabe & Mrs. Miller,1971,H,"US film before 1980, major as distributor and so its financier: Warner Bros Pictures (Warner)",medium,,,,,False,,,United States,False,David Foster Productions,wikipedia:studio,Warner,Warner Bros. Pictures,https://en.wikipedia.org/wiki/McCabe_&_Mrs._Miller,https://www.wikidata.org/wiki/Q1423362,https://www.themoviedb.org/movie/29005,
My Own Private Idaho,1991,H,major studio: New Line Cinema (Warner),high,Warner,5000000,5000000.0,5000000.0,False,wikipedia: $2.5 million | tmdb: $2500000,wikipedia+tmdb,United States,False,New Line Cinema,wikidata:P272,,Fine Line Features,https://en.wikipedia.org/wiki/My_Own_Private_Idaho,https://www.wikidata.org/wiki/Q1125451,https://www.themoviedb.org/movie/468,
To Die For,1995,H,major studio: Columbia Pictures (Sony),high,Sony,40000000,40000000.0,40000000.0,False,wikipedia: $20 million<ref name=numbers/> | tmdb: $20000000,wikipedia+tmdb,United Kingdom; United States,False,Columbia Pictures; Rank Organisation; Rank Film Distributors; Laura Ziskin Productions,wikipedia:studio,,Sony Pictures Releasing (North America) (United Kingdom),https://en.wikipedia.org/wiki/To_Die_For,https://www.wikidata.org/wiki/Q590701,https://www.themoviedb.org/movie/577,
Judas and the Black Messiah,2021,A,"no major studio; budget $29.9M in today's money, avg of 2 sources (< $35M)",medium,,29900000,29899999.999999996,29899999.999999996,False,"wikipedia: $26 million<ref name=""Variety-Dec20""/> | tmdb: $26000000",wikipedia+tmdb,United States,False,MACRO; Participant (company); Participant; Bron Studios; Bron Creative; Proximity Media,wikipedia:studio,,Warner Bros. Pictures,https://en.wikipedia.org/wiki/Judas_and_the_Black_Messiah,https://www.wikidata.org/wiki/Q73536766,https://www.themoviedb.org/movie/583406,no budget text
Red Rock West,1993,A,"no major studio; budget $15.0M in today's money, avg of 2 sources (< $35M)",high,,15000000,14000000.0,16000000.0,False,wikipedia: $7 million | tmdb: $8000000,wikipedia+tmdb,United States,False,Propaganda Films; PolyGram Filmed Entertainment,wikipedia:studio,,Roxie Theater; Roxie Releasing (United States); PolyGram Filmed Entertainment (International),https://en.wikipedia.org/wiki/Red_Rock_West,https://www.wikidata.org/wiki/Q1518218,https://www.themoviedb.org/movie/10427,no budget text
The Eight Mountains,2022,A,no major studio; no budget figure found (rule: treat as A),low,,,,,False,,,France; Italy; Belgium; United Kingdom,True,Wildside; Rufus; Menuetto; Pyramide Productions; Vision Distribution,wikipedia:studio,,Vision Distribution (Italy); Kinepolis Film Distribution (Belgium); Pyramide Films (France),https://en.wikipedia.org/wiki/The_Eight_Mountains,https://www.wikidata.org/wiki/Q111751446,https://www.themoviedb.org/movie/803700,no budget text
Women Talking,2022,A,"no major studio; budget $23.0M in today's money, avg of 2 sources (< $35M)",high,,23000000,23000000.0,23000000.0,False,wikipedia: $20 million | tmdb: $20000000,wikipedia+tmdb,United States,False,Orion Pictures; Plan B Entertainment; Hear/Say Productions,wikipedia:studio,,United Artists Releasing,https://en.wikipedia.org/wiki/Women_Talking_(film),https://www.wikidata.org/wiki/Q108030443,https://www.themoviedb.org/movie/777245,no budget text
The Mauritanian,2021,A,no major studio; no budget figure found (rule: treat as A),low,,,,,False,,,United States; United Kingdom,False,30West; Topic Studios; BBC Film; Black Sheep Pictures; Convergent Media; Oak Street Films; SunnyMarch; Wonder Street,wikipedia:studio,,STX Entertainment; STXfilms,https://en.wikipedia.org/wiki/The_Mauritanian,https://www.wikidata.org/wiki/Q83726435,https://www.themoviedb.org/movie/644583,no budget text
Sick of Myself,2022,A,no major studio; no budget figure found (rule: treat as A),low,,,,,False,,,Norway; Sweden,True,Oslo Pictures; Film i Väst,wikipedia:studio,,Scandinavian Film Distribution (Norway),https://en.wikipedia.org/wiki/Sick_of_Myself_(film),https://www.wikidata.org/wiki/Q114000704,https://www.themoviedb.org/movie/788734,no budget text
The Wonderful Story of Henry Sugar,2023,A,"no major studio; budget $4.6M in today's money, tmdb (< $35M)",high,,4600000,,4600000.0,False,tmdb: $4000000,tmdb,United States,False,Indian Paintbrush (company); Indian Paintbrush; American Empirical Pictures,wikipedia:studio,,Netflix,https://en.wikipedia.org/wiki/The_Wonderful_Story_of_Henry_Sugar_(film),https://www.wikidata.org/wiki/Q110519496,https://www.themoviedb.org/movie/923939,no budget text
The Return of Martin Guerre,1982,A,"no major studio; budget $11.1M in today's money, tmdb (< $35M)",high,,11113299,,11113299.0,False,tmdb: $3704433,tmdb,France,True,SFP; Productions Marcel Dassault; FR3,tmdb,,European International,https://en.wikipedia.org/wiki/The_Return_of_Martin_Guerre,https://www.wikidata.org/wiki/Q1217549,https://www.themoviedb.org/movie/4483,no budget text
A Woman Under the Influence,1974,A,"no major studio; budget $5.5M in today's money, avg of 2 sources (< $35M)",high,,5500000,5500000.0,5500000.0,False,wikipedia: $1 million | tmdb: $1000000,wikipedia+tmdb,United States,False,Faces International Films,wikipedia:studio,,Faces Distribution,https://en.wikipedia.org/wiki/A_Woman_Under_the_Influence,https://www.wikidata.org/wiki/Q1306380,https://www.themoviedb.org/movie/29845,no budget text
Streetwise,1984,A,no major studio; no budget figure found (rule: treat as A),low,,,,,False,,,United States,False,Bear Creek; Angelika Films,tmdb,,Angelika Films,https://en.wikipedia.org/wiki/Streetwise_(1984_film),https://www.wikidata.org/wiki/Q12128421,https://www.themoviedb.org/movie/42098,no budget text
"To Wong Foo, Thanks for Everything! Julie Newmar",1995,H,major studio: Universal Pictures (Universal),high,Universal,60000000,60000000.0,,False,wikipedia: $30 million{{sfn|Busch|1995|p=48}},wikipedia,United States,False,Universal Pictures,wikipedia:studio,,Universal Pictures,"https://en.wikipedia.org/wiki/To_Wong_Foo,_Thanks_for_Everything!_Julie_Newmar",https://www.wikidata.org/wiki/Q1759260,https://www.themoviedb.org/movie/9090,
The Hour of the Pig,1993,A,no major studio; no budget figure found (rule: treat as A),low,,,,,False,,,United Kingdom; France,True,Miramax Films; BBC Films; Ciby 2000; CiBy 2000,wikipedia:studio,,Mayfair Entertainment (United Kingdom); CiBy 2000 (France),https://en.wikipedia.org/wiki/The_Hour_of_the_Pig,https://www.wikidata.org/wiki/Q7740486,https://www.themoviedb.org/movie/70912,no budget text
Priscilla,2023,A,"no major studio; budget $23.0M in today's money, avg of 2 sources (< $35M)",high,,23000000,23000000.0,23000000.0,False,"wikipedia: <!--DO NOT ADD A LESS THAN SYMBOL ""<"" PER THE TEMPLATE-->$20 | tmdb: $20000000",wikipedia+tmdb,United States; Italy,False,Fremantle (company); Fremantle; American Zoetrope; The Apartment (production company); The Apartment Pictures,wikipedia:studio,,A24,https://en.wikipedia.org/wiki/Priscilla_(film),https://www.wikidata.org/wiki/Q115115152,https://www.themoviedb.org/movie/1020006,no budget text
Veronika Voss,1982,A,no major studio; no budget figure found (rule: treat as A),low,,,,,False,,,Germany,True,Laura Film; Tango Film; Rialto Film; Trio Film; Maran Film; Süddeutscher Rundfunk,wikipedia:studio,,Filmverlag der Autoren,https://en.wikipedia.org/wiki/Veronika_Voss,https://www.wikidata.org/wiki/Q703188,https://www.themoviedb.org/movie/2262,no budget text
The Taste of Things,2023,A,"no major studio; budget $7.5M in today's money, tmdb (< $35M)",high,,7475000,,7474999.999999999,False,tmdb: $6500000,tmdb,France,True,Curiosa Films; Gaumont; France 2 Cinéma; Umedia,wikipedia:studio,,Gaumont,https://en.wikipedia.org/wiki/The_Taste_of_Things,https://www.wikidata.org/wiki/Q110953025,https://www.themoviedb.org/movie/964960,no budget text
Tokyo Story,1953,A,no major studio; no budget figure found (rule: treat as A),low,,,,,False,,,Japan,True,Shochiku,wikipedia:studio,,Shochiku,https://en.wikipedia.org/wiki/Tokyo_Story,https://www.wikidata.org/wiki/Q26060,https://www.themoviedb.org/movie/18148,no budget text
The Cremator,1969,A,no major studio; no budget figure found (rule: treat as A),low,,,,,False,,,Czechoslovakia,True,Barrandov Studios,wikipedia:studio,,Central Office of Film Distribution,https://en.wikipedia.org/wiki/The_Cremator,https://www.wikidata.org/wiki/Q3178853,https://www.themoviedb.org/movie/18352,no budget text
The Innocents,1961,H,major studio: 20th Century Fox (Disney/Fox),high,Disney/Fox,3660375,4095750.0,3225000.0,False,"wikipedia: £430,000{{sfn|Walker|1974|p=163}} | tmdb: $430000",wikipedia+tmdb,United Kingdom,True,20th Century Fox,wikipedia:studio,,20th Century Fox,https://en.wikipedia.org/wiki/The_Innocents_(1961_film),https://www.wikidata.org/wiki/Q666082,https://www.themoviedb.org/movie/16372,
Phantom of the Paradise,1974,H,"US film before 1980, major as distributor and so its financier: 20th Century Fox (Disney/Fox)",medium,,7150000,7150000.0,7150000.0,False,wikipedia: $1.3 million | tmdb: $1300000,wikipedia+tmdb,United States,False,Harbor Productions,wikipedia:studio,Disney/Fox,20th Century Fox,https://en.wikipedia.org/wiki/Phantom_of_the_Paradise,https://www.wikidata.org/wiki/Q1170086,https://www.themoviedb.org/movie/27327,
Santa Sangre,1989,A,"no major studio; budget $2.4M in today's money, avg of 2 sources (< $35M)",high,,2361000,2361000.0,2361000.0,False,"wikipedia: $787,000 | tmdb: $787000",wikipedia+tmdb,Mexico,True,Productora Fílmica Real; Produzioni Intersound,tmdb,,Mainline Pictures; Expanded Entertainment,https://en.wikipedia.org/wiki/Santa_Sangre,https://www.wikidata.org/wiki/Q612035,https://www.themoviedb.org/movie/19236,no budget text
Hour of the Wolf,1968,A,no major studio; no budget figure found (rule: treat as A),low,,,,,False,,,Sweden,True,Svensk Filmindustri,wikipedia:studio,,Svensk Filmindustri,https://en.wikipedia.org/wiki/Hour_of_the_Wolf,https://www.wikidata.org/wiki/Q918111,https://www.themoviedb.org/movie/18333,no budget text
"I'm a Cyborg, But That's OK",2006,A,"no major studio; budget $4.8M in today's money, wikipedia (< $35M)",high,,4800000,4800000.0,,False,wikipedia: {{USD|3 million|long=no}},wikipedia,South Korea,True,Moho Film,wikidata:P272,,CJ Entertainment,"https://en.wikipedia.org/wiki/I'm_a_Cyborg,_But_That's_OK",https://www.wikidata.org/wiki/Q485677,https://www.themoviedb.org/movie/5488,no budget text
Thirst,2009,A,"no major studio; budget $8.0M in today's money, avg of 2 sources (< $35M)",high,,8000000,8000000.0,8000000.0,False,wikipedia: {{USD|5 million|long=no}}<ref>{{cite web |url=https://www.im | tmdb: $5000000,wikipedia+tmdb,South Korea,True,CJ ENM Entertainment Division; Moho Films,wikipedia:studio,,Focus Features (United States),https://en.wikipedia.org/wiki/Thirst_(2009_film),https://www.wikidata.org/wiki/Q483780,https://www.themoviedb.org/movie/22536,no budget text
Sans Soleil,1983,A,no major studio; no budget figure found (rule: treat as A),low,,,,,False,,,France,True,Argos films,tmdb,,Argos Films,https://en.wikipedia.org/wiki/Sans_Soleil,https://www.wikidata.org/wiki/Q290796,https://www.themoviedb.org/movie/1563,no budget text
La Jetée,1962,A,no major studio; no budget figure found (rule: treat as A),low,,,,,False,,,France,True,Argos Films,wikipedia:studio,,Argos Films,https://en.wikipedia.org/wiki/La_Jetée,https://www.wikidata.org/wiki/Q451434,https://www.themoviedb.org/movie/662,no budget text
Martin,1977,A,"no major studio; budget $1.4M in today's money, avg of 2 sources (< $35M)",high,,1375000,1375000.0,1375000.0,False,"wikipedia: $250,000{{sfn|Romero|2011|p=60}} | tmdb: $250000",wikipedia+tmdb,United States,False,Richard P. Rubinstein#Laurel Entertainment; Laurel Productions; Braddock Associates,wikipedia:studio,,Ben Barenholtz#Libra Films; Libra Films,https://en.wikipedia.org/wiki/Martin_(1977_film),https://www.wikidata.org/wiki/Q1903317,https://www.themoviedb.org/movie/26517,no budget text
Shoah,1985,A,no major studio; no budget figure found (rule: treat as A),low,,,,,False,,,France,True,Historia; Les Films Aleph; Ministère de la culture,tmdb,,New Yorker Films,https://en.wikipedia.org/wiki/Shoah_(film),https://www.wikidata.org/wiki/Q1720765,https://www.themoviedb.org/movie/42044,no budget text
Birdy,1984,H,"no major studio, but budget $36.0M in today's money, avg of 2 sources (> $35M)",medium,,36000000,36000000.0,36000000.0,False,"wikipedia: $12 million<ref name= ""TCM"">{{cite web| website  = Turner Cl | tmdb: $12000000",wikipedia+tmdb,United States,False,A&M Records; A&M Films; Delphi III Productions,wikipedia:studio,,TriStar Pictures; Tri-Star Pictures,https://en.wikipedia.org/wiki/Birdy_(film),https://www.wikidata.org/wiki/Q700725,https://www.themoviedb.org/movie/11296,no budget text
Mephisto,1981,A,no major studio; no budget figure found (rule: treat as A),low,,,,,False,,,Austria; Germany; Hungary,True,Mafilm; Objektív Film; Manfred Durniok Filmproduktion; Hessischer Rundfunk; ORF (broadcaster); ORF,wikipedia:studio,,Analysis Film Releasing Corporation (U.S.),https://en.wikipedia.org/wiki/Mephisto_(1981_film),https://www.wikidata.org/wiki/Q314418,https://www.themoviedb.org/movie/11911,no budget text
And the Ship Sails On,1983,A,no major studio; no budget figure found (rule: treat as A),low,,,,,False,,,France; Italy,True,Societa Investimenti Milanese (S.I.M.); Gaumont; RAI; Vides Cinematografica,tmdb,,Gaumont Distribution,https://en.wikipedia.org/wiki/And_the_Ship_Sails_On,https://www.wikidata.org/wiki/Q18437,https://www.themoviedb.org/movie/5622,no budget text
All of Us Strangers,2023,A,"no major studio; budget $5.8M in today's money, tmdb (< $35M)",high,,5750000,,5750000.0,False,tmdb: $5000000,tmdb,United Kingdom,True,Blueprint Pictures; Film4 Productions,wikipedia:studio,,Searchlight Pictures,https://en.wikipedia.org/wiki/All_of_Us_Strangers,https://www.wikidata.org/wiki/Q113516747,https://www.themoviedb.org/movie/994108,no budget text
Moonlighting,1982,A,"no major studio; budget $2.3M in today's money, wikipedia (< $35M)",high,,2270760,2270760.0,,False,"wikipedia: £596,000<ref name=""org"">{{cite web|url=https://www2.bfi.org.",wikipedia,United Kingdom; Australia,True,Michael White Productions; Channel Four Films,wikipedia:studio,,Miracle Films,https://en.wikipedia.org/wiki/Moonlighting_(film),https://www.wikidata.org/wiki/Q2364520,https://www.themoviedb.org/movie/42134,no budget text
Blind Chance,1987,A,no major studio; no budget figure found (rule: treat as A),low,,,,,False,,,Poland,True,TOR film studio,wikidata:P272,,Przedsiebiorstwo Dystrybucji Filmów,https://en.wikipedia.org/wiki/Blind_Chance,https://www.wikidata.org/wiki/Q1198219,https://www.themoviedb.org/movie/127,no budget text
The Friends of Eddie Coyle,1973,H,major studio: Paramount Pictures (Paramount),high,Paramount,16500000,16500000.0,,False,wikipedia: $3 million,wikipedia,United States,False,Paramount Pictures,wikidata:P272,,Paramount Pictures,https://en.wikipedia.org/wiki/The_Friends_of_Eddie_Coyle,https://www.wikidata.org/wiki/Q2184262,https://www.themoviedb.org/movie/25680,
No Other Land,2024,A,no major studio; no budget figure found (rule: treat as A),low,,,,,False,,,Norway,True,Yabayay Media; Antipode films,wikipedia:studio,,,https://en.wikipedia.org/wiki/No_Other_Land,https://www.wikidata.org/wiki/Q124440294,https://www.themoviedb.org/movie/1232493,no budget text
Perfect Days,2023,A,"no major studio; budget $16.1M in today's money, tmdb (< $35M)",high,,16100000,,16099999.999999998,False,tmdb: $14000000,tmdb,Japan; Germany,True,Master Mind; Spoon; Wenders Images,wikipedia:studio,,DCM (Germany); Bitters End (Japan),https://en.wikipedia.org/wiki/Perfect_Days,https://www.wikidata.org/wiki/Q117663112,https://www.themoviedb.org/movie/976893,no budget text
Pickpocket,1959,A,no major studio; no budget figure found (rule: treat as A),low,,,,,False,,,France,True,Lux Compagnie Cinématographique de France,tmdb,,Netflix,https://en.wikipedia.org/wiki/Pickpocket_(film),https://www.wikidata.org/wiki/Q664726,https://www.themoviedb.org/movie/690,no budget text
Incendies,2010,A,"no major studio; budget $8.6M in today's money, avg of 2 sources (< $35M)",high,,8645000,8450000.0,8840000.0,False,"wikipedia: $6.5 million<ref name=""Gazette"">{{cite news |date=1 March 20 | tmdb: $6800000",wikipedia+tmdb,Canada; France,True,micro_scope,wikipedia:studio,,Entertainment One,https://en.wikipedia.org/wiki/Incendies,https://www.wikidata.org/wiki/Q1212650,https://www.themoviedb.org/movie/46738,no budget text
Polytechnique,2009,A,"no major studio; budget $9.6M in today's money, wikipedia (< $35M)",high,,9600000,9600000.0,,False,wikipedia: $6 million,wikipedia,Canada,True,Remcorp,wikidata:P272,,Alliance Films; Remstar; Wild Bunch,https://en.wikipedia.org/wiki/Polytechnique_(film),https://www.wikidata.org/wiki/Q2053630,https://www.themoviedb.org/movie/22302,no budget text
Challengers,2024,H,major studio: Metro-Goldwyn-Mayer (Amazon MGM),high,Amazon MGM,55000000,55000000.0,55000000.0,False,wikipedia: $55 million<ref name=Variety-Proj/> | tmdb: $55000000,wikipedia+tmdb,United States,False,Metro-Goldwyn-Mayer; Pascal Pictures; Frenesy Film Company; Why Are You Acting?,wikipedia:studio,,Amazon MGM Studios (United States); Warner Bros. Pictures (International),https://en.wikipedia.org/wiki/Challengers_(film),https://www.wikidata.org/wiki/Q111458251,https://www.themoviedb.org/movie/937287,
Evil Does Not Exist,2023,A,no major studio; no budget figure found (rule: treat as A),low,,,,,False,,,Japan,True,NEOPA Inc,wikipedia:studio,,Incline,https://en.wikipedia.org/wiki/Evil_Does_Not_Exist,https://www.wikidata.org/wiki/Q120897557,https://www.themoviedb.org/movie/1156125,no budget text
Maniac,2018,A,"no major studio; budget $0.5M in today's money, wikipedia (< $35M)",high,,455000,455000.0,,False,"wikipedia: $350,000<ref name=numbers>{{cite web|url=https://the-numbers",wikipedia,United States,False,Magnum Motion Pictures Inc,wikipedia:studio,,Analysis Film Releasing Corporation,https://en.wikipedia.org/wiki/Maniac_(1980_film),,https://www.themoviedb.org/movie/1097949,no budget text
The Seed of the Sacred Fig,2024,A,"no major studio; budget $3.0M in today's money, tmdb (< $35M)",high,,3000000,,3000000.0,False,tmdb: $3000000,tmdb,Germany; France; Iran,True,Run Way Pictures; Parallel45; Arte France Cinéma,wikipedia:studio,,Pyramide Distribution (France); Alamode Film (Germany),https://en.wikipedia.org/wiki/The_Seed_of_the_Sacred_Fig,https://www.wikidata.org/wiki/Q125563776,https://www.themoviedb.org/movie/1278263,no budget text
A Scanner Darkly,2006,A,"no major studio; budget $13.9M in today's money, avg of 2 sources (< $35M)",high,,13920000,13920000.0,13920000.0,False,"wikipedia: $8.7 million<ref name=""lafranco"" /> | tmdb: $8700000",wikipedia+tmdb,United States,False,Thousand Words; Section Eight Productions; Section Eight; Detour Filmproduction; 3 Arts Entertainment,wikipedia:studio,,Warner Independent Pictures,https://en.wikipedia.org/wiki/A_Scanner_Darkly_(film),https://www.wikidata.org/wiki/Q300547,https://www.themoviedb.org/movie/3509,no budget text
